Name,Personal Income
"Rochester, NY","57,902"
"Rockford, IL","50,806"
"Rocky Mount, NC","48,298"
"Rome, GA","44,126"
"Sacramento-Roseville-Folsom, CA","66,940"
"Saginaw, MI","47,700"
"St. Cloud, MN","58,261"
"St. George, UT","50,746"
"St. Joseph, MO-KS","46,980"
"St. Louis, MO-IL","69,698"
"Salem, OR","53,589"
"Salinas, CA","65,123"
"Salisbury, MD-DE","58,936"
"Salt Lake City, UT","65,085"
"San Angelo, TX","63,284"
"San Antonio-New Braunfels, TX","55,180"
"San Diego-Chula Vista-Carlsbad, CA","74,326"
"San Francisco-Oakland-Berkeley, CA","123,736"
"San Jose-Sunnyvale-Santa Clara, CA","141,516"
"San Luis Obispo-Paso Robles, CA","67,951"
"Santa Cruz-Watsonville, CA","86,365"
"Santa Fe, NM","74,751"
"Santa Maria-Santa Barbara, CA","75,720"
"Santa Rosa-Petaluma, CA","77,900"
"Savannah, GA","55,383"
"Scranton--Wilkes-Barre, PA","52,304"
"Seattle-Tacoma-Bellevue, WA","92,113"
"Sebastian-Vero Beach, FL","105,250"
"Sebring-Avon Park, FL","41,845"
"Sheboygan, WI","60,359"
"Sherman-Denison, TX","53,393"
"Shreveport-Bossier City, LA","55,858"
"Sierra Vista-Douglas, AZ","50,195"
"Sioux City, IA-NE-SD","59,427"
"Sioux Falls, SD","74,725"
"South Bend-Mishawaka, IN-MI","56,410"
"Spartanburg, SC","52,621"
"Spokane-Spokane Valley, WA","53,620"
"Springfield, IL","57,178"
"Springfield, MA","60,461"
"Springfield, MO","49,533"
"Springfield, OH","47,151"
"State College, PA","54,686"
"Staunton, VA","52,910"
"Stockton, CA","54,183"
"Sumter, SC","46,288"
"Syracuse, NY","57,576"
"Tallahassee, FL","52,359"
"Tampa-St. Petersburg-Clearwater, FL","60,091"
"Terre Haute, IN","45,783"
"Texarkana, TX-AR","46,472"
"The Villages, FL","69,224"
"Toledo, OH","54,483"
"Topeka, KS","54,500"
"Trenton-Princeton, NJ","79,354"
"Tucson, AZ","54,464"
"Tulsa, OK","62,618"
"Tuscaloosa, AL","41,350"
"Twin Falls, ID","48,305"
"Tyler, TX","66,784"
"Urban Honolulu, HI","64,936"
"Utica-Rome, NY","51,162"
"Valdosta, GA","42,469"
"Vallejo, CA","58,273"
"Victoria, TX","58,905"
"Vineland-Bridgeton, NJ","46,791"
"Virginia Beach-Norfolk-Newport News, VA-NC","57,873"
"Visalia, CA","47,295"
"Waco, TX","49,798"
"Walla Walla, WA","55,436"
"Warner Robins, GA","47,478"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","83,010"
"Waterloo-Cedar Falls, IA","55,247"
"Watertown-Fort Drum, NY","51,749"
"Wausau-Weston, WI","58,770"
"Weirton-Steubenville, WV-OH","47,725"
"Wenatchee, WA","57,853"
"Wheeling, WV-OH","53,193"
"Wichita, KS","58,165"
