"Name","Population","Median Housing Price per sqft","Personal Income"
"Nashville-Davidson--Murfreesboro--Franklin, TN",2046828,260,74035
"New Bern, NC",122488,186,53690
"New Haven-Milford, CT",869527,226,64829
"New Orleans-Metairie, LA",1246176,181,61801
"New York-Newark-Jersey City, NY-NJ-PA",19617869,491,84084
"Niles, MI",152900,180,60311
"North Port-Sarasota-Bradenton, FL",891411,302,72316
"Norwich-New London, CT",268681,240,64847
"Ocala, FL",396415,191,44521
"Ocean City, NJ",95634,661,71590
"Odessa, TX",160869,144,55448
"Ogden-Clearfield, UT",713839,220,54671
"Oklahoma City, OK",1459380,170,60687
"Olympia-Lacey-Tumwater, WA",298758,285,59697
"Omaha-Council Bluffs, NE-IA",976671,179,68586
"Orlando-Kissimmee-Sanford, FL",2764182,238,53959
"Oshkosh-Neenah, WI",170718,168,56878
"Owensboro, KY",121348,148,49701
"Oxnard-Thousand Oaks-Ventura, CA",832605,539,76375
"Palm Bay-Melbourne-Titusville, FL",630693,236,56817
"Panama City, FL",185134,340,54268
"Parkersburg-Vienna, WV",88431,105,57251
"Pensacola-Ferry Pass-Brent, FL",523146,202,54221
"Peoria, IL",396466,96,56918
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6241164,217,73291
"Phoenix-Mesa-Chandler, AZ",5015678,277,61840
"Pine Bluff, AR",84629,80,40525
"Pittsburgh, PA",2349172,158,65792
"Pittsfield, MA",127859,267,64758
"Pocatello, ID",97585,182,47470
"Port St. Lucie, FL",520710,267,70400
"Portland-South Portland, ME",561576,351,71990
"Portland-Vancouver-Hillsboro, OR-WA",2509489,315,69435
"Poughkeepsie-Newburgh-Middletown, NY",NA,NA,62509
"Prescott Valley-Prescott, AZ",246191,320,51747
"Providence-Warwick, RI-MA",1673802,303,63746
"Provo-Orem, UT",715001,215,53731
"Pueblo, CO",169544,175,47208
"Punta Gorda, FL",202661,256,53227
"Racine, WI",195846,186,57574
"Raleigh-Cary, NC",1484338,218,70628
"Rapid City, SD",145159,226,65807
"Reading, PA",430449,167,58199
"Redding, CA",180930,246,54120
"Reno, NV",500915,332,78077
"Richmond, VA",1339182,214,68205
"Riverside-San Bernardino-Ontario, CA",4667558,334,50407
"Roanoke, VA",314340,176,55243
"Rochester, MN",228073,180,65003
"Rochester, NY",1081152,152,57902
"Rockford, IL",335342,110,50806
"Rocky Mount, NC",144090,151,48298
"Rome, GA",99443,163,44126
"Sacramento-Roseville-Folsom, CA",2416702,345,66940
"Saginaw, MI",188330,109,47700
"Salem, OR",436317,281,53589
"Salinas, CA",432858,678,65123
"Salisbury, MD-DE",439032,261,58936
"Salt Lake City, UT",1266191,256,65085
"San Angelo, TX",121839,165,63284
"San Antonio-New Braunfels, TX",2655342,185,55180
"San Diego-Chula Vista-Carlsbad, CA",3276208,618,74326
"San Francisco-Oakland-Berkeley, CA",4579599,728,123736
"San Jose-Sunnyvale-Santa Clara, CA",1938524,837,141516
"San Luis Obispo-Paso Robles, CA",282013,578,67951
"Santa Cruz-Watsonville, CA",264370,736,86365
"Santa Fe, NM",155664,388,74751
"Santa Maria-Santa Barbara, CA",443837,950,75720
"Santa Rosa-Petaluma, CA",482650,552,77900
"Savannah, GA",418373,215,55383
"Scranton--Wilkes-Barre, PA",567998,130,52304
"Seattle-Tacoma-Bellevue, WA",4034248,440,92113
"Sebastian-Vero Beach, FL",167352,263,105250
"Sebring-Avon Park, FL",105618,188,41845
"Sheboygan, WI",117841,180,60359
"Sherman-Denison, TX",143131,195,53393
"Shreveport-Bossier City, LA",385154,126,55858
"Sierra Vista-Douglas, AZ",125663,183,50195
"Sioux City, IA-NE-SD",149240,141,59427
"Sioux Falls, SD",289592,204,74725
"South Bend-Mishawaka, IN-MI",323637,140,56410
"Spartanburg, SC",345831,165,52621
"Spokane-Spokane Valley, WA",597919,225,53620
"Springfield, IL",206655,100,57178
"Springfield, MA",694523,222,60461
"Springfield, MO",487061,162,49533
"Springfield, OH",134831,140,47151
"St. Cloud, MN",201868,166,58261
